,review,review header,sentiments,sentiment label
195,Very good,Good customer service,0.4927,Positive
196,"Friendly , fast and always do great work",Friendly,0.8074,Very Positive
197,Very friendly & quick service!!!,Friendly,0.6563,Very Positive
198,I have a friend that is my mechanic for anything beyond an oil change,Friendly,0.4939,Positive
199,I told what I wanted it got done and had me out in a good time,Fast/Quick/Speedy/Timely,0.4404,Positive
200,HAD MY OIL CHANGED AND TRANSMISSION FLUID CHANGED TOOK LESS TIME THEN THEY TOLD ME HAD GREAT EXPERIANCE WILL BE BACK AGAIN THANK YOU,Fast/Quick/Speedy/Timely,0.765,Very Positive
201,quick,Fast/Quick/Speedy/Timely,0.0,Neutral
202,It depends upon what is needed - I may go to the dealer or a mechanic friend,Friendly,0.4939,Positive
203,I usually only go for an oil change,Have equipment needed,0.0,Neutral
204,Customer service is great,Good customer service,0.6249,Very Positive
205,good customer service,Good customer service,0.4404,Positive
206,"I appreciated that the team looked beyond the service I was there for (oil change and tire rotation), and discovered a problem with my brake pads and rotors",Knowledgeable employees,0.1531,Positive
207,Fast service and very nice staff,Good customer service,0.4754,Positive
208,Very friendly and very efficent,Friendly,0.5413,Very Positive
209,Extremely friendly and quick service,Friendly,0.5413,Very Positive
210,This annapolis location is the best jiffy lube ive ever visited,Good customer service,0.6369,Very Positive
211,Love the management Ricci is always so friendly and welcomkng,Friendly,0.8525,Very Positive
212,Customer service is outstanding aAnnapolis Jiffy Lube!,Good customer service,0.6476,Very Positive
213,convenient and quick,Convenient,0.0,Neutral
214,Had excellent service and information,Good customer service,0.5719,Very Positive
215,"Great, efficient service",Good customer service,0.7845,Very Positive
216,Everyone  from start to finish  were so helpful,Good customer service,0.5598,Very Positive
217,I was treated like a customer should be,Good customer service,0.3612,Positive
218,The follow-up service is a plus draw,Good customer service,0.0,Neutral
219,Fast service,Fast/Quick/Speedy/Timely,0.0,Neutral
220,"Very nice, very quick",Fast/Quick/Speedy/Timely,0.4754,Positive
221,Quick and close to my job,Fast/Quick/Speedy/Timely,0.0,Neutral
222,Happy with basic services but unsure about other services,Good customer service,-0.0387,Negative
223,FAST service!,Fast/Quick/Speedy/Timely,0.0,Neutral
224,Good service,Good customer service,0.4404,Positive
225,"Price of suggested services during my recent visit where higher than at my regular mechanic, but there is the convenience factor to consider",Convenient,0.0,Neutral
226,alway's professional and courteous prompt,Professional,0.5106,Very Positive
227,Very professional service,Professional,0.0,Neutral
228,Courteous,Courtesy,0.5106,Very Positive
229,They stand behind their work and correct their mistakes,Good customer service,-0.3612,Negative
230,Best jiffy lube I've ever been too,Good customer service,0.6369,Very Positive
231,The staff was very knowledgeable,Knowledgeable employees,0.0,Neutral
232,Fastest service I ever had at a Jiffy Lube Center,Fast/Quick/Speedy/Timely,0.0,Neutral
233,I  trust the crew at the Annapolis Jiffy Lube,Trustworthy,0.5106,Very Positive
234,Great customer service,Good customer service,0.6249,Very Positive
235,Reasonable prices,Fair price,0.0,Neutral
